CampaignChannel,CampaignType,AdSpend,ClickThroughRate,EmailOpens,EmailClicks,PreviousPurchases,WebsiteVisits,Conversion
Email,Retention,3809.744930904144,0.2668263487765561,19,3,3,1,1
Referral,Awareness,3420.8897243523397,0.1719916019481368,17,6,9,11,1
Social Media,Retention,9932.2546784328,0.2094047281405943,16,6,9,48,1
Email,Retention,9856.935049407291,0.20138462754116,19,5,9,2,1
SEO,Retention,1979.0591907972407,0.1698323958415097,7,0,8,7,1
Social Media,Consideration,6336.474910913555,0.1001198622191077,0,8,7,36,1
PPC,Retention,5401.642257118308,0.1195603136239692,3,2,3,23,0
PPC,Consideration,1628.2975632833136,0.1015541015622206,11,9,3,48,1
PPC,Retention,1761.0190904337885,0.2760744479797959,15,3,9,24,1
SEO,Awareness,9893.592111947592,0.2497194144480285,4,1,8,24,1
Referral,Consideration,4582.026936847234,0.178010738126854,17,4,7,13,1
Email,Awareness,1345.4327908007276,0.2745506065825182,17,5,6,45,1
SEO,Awareness,2226.4213835186174,0.2670585210129136,18,5,0,35,1
Social Media,Awareness,2756.6458657606413,0.2790313759280322,12,0,3,14,1
Social Media,Consideration,5158.080906854331,0.0743144187201045,0,3,0,31,1
PPC,Conversion,3421.926482112462,0.2180758809515294,7,9,4,1,1
Email,Consideration,4604.616680310218,0.1866751049778155,0,3,3,20,1
PPC,Conversion,1748.345555903491,0.222810884972036,19,2,6,3,1
Social Media,Consideration,3334.6140368163115,0.0863800155363032,6,6,7,28,1
Social Media,Retention,796.1342679057649,0.2114946307171063,18,3,0,48,1
Referral,Conversion,8908.131707410903,0.1288502694237722,2,6,4,28,1
Referral,Retention,2067.6495239689248,0.2518866209288271,17,2,9,22,1
Referral,Conversion,7593.311340744514,0.2406560602969142,17,3,6,2,1
PPC,Consideration,3560.562703213125,0.0712937071490859,5,2,2,20,1
Email,Consideration,4796.533457503954,0.0633180301569578,19,3,8,15,1
Referral,Conversion,2983.4842906661456,0.2181421991726111,13,9,7,43,1
SEO,Retention,6994.768583962961,0.1696377194711665,6,3,4,19,1
Referral,Awareness,8461.009550819603,0.1715897140977942,10,3,2,34,1
PPC,Conversion,2934.0748289219223,0.2282294438032128,4,2,2,4,0
Email,Conversion,2497.954672269565,0.2579415299763191,12,5,2,47,1
Referral,Retention,6846.25862809258,0.0792995311765278,12,4,1,25,1
Email,Awareness,2032.0152996204365,0.1711064685692595,0,5,0,6,0
SEO,Conversion,6434.413679536746,0.2503968657527023,1,6,0,15,1
Social Media,Awareness,1034.8379889669918,0.2631103096465507,17,3,8,16,1
Email,Awareness,6239.357883610804,0.0933487226181698,3,8,6,1,1
Referral,Consideration,5182.726666703288,0.0402046184132786,13,0,6,11,1
PPC,Retention,1227.6665842054526,0.0775187436245561,4,7,9,12,0
PPC,Conversion,6526.125985159538,0.2841948590642129,15,1,1,4,1
PPC,Conversion,4520.915854637351,0.1441191166062121,19,2,3,15,1
PPC,Awareness,2249.4390030891486,0.1313863992612472,2,1,7,27,1
Email,Conversion,3598.503141451555,0.0137944611329209,19,9,5,7,1
PPC,Awareness,4971.810845825404,0.0247942580471918,13,5,3,27,1
Social Media,Conversion,1006.3868499173818,0.2039218195476698,4,4,9,45,1
SEO,Retention,9580.333882970706,0.1810498499302489,11,6,2,7,1
Email,Conversion,6689.0653465000005,0.1769032065636671,12,8,1,28,1
Email,Awareness,1115.0963147481905,0.0419936340470967,15,6,3,17,1
PPC,Awareness,8246.335624851748,0.1120977391739525,15,8,3,43,1
PPC,Conversion,3293.29381636684,0.2455838602056429,18,4,0,42,1
Email,Conversion,6008.31541346052,0.0607242549358248,3,2,7,15,1
PPC,Awareness,2843.714131637775,0.2659793027849065,12,2,7,25,1
PPC,Consideration,7360.718854654611,0.0452287071011819,17,3,5,21,1
PPC,Consideration,7257.788852501013,0.0590533057359565,12,1,4,14,1
PPC,Conversion,5565.230223036938,0.1485474887345812,11,2,0,12,1
PPC,Retention,2485.163365468623,0.2841369722900758,18,8,7,21,1
Referral,Conversion,2611.6676943702405,0.1055688266621728,16,8,6,20,1
Referral,Retention,3890.3416872799353,0.2008832181318341,9,7,2,49,1
Referral,Conversion,1535.6204572232243,0.1807146642368321,6,1,6,23,1
Email,Awareness,3442.7915605901435,0.0533905645851616,13,8,6,0,1
SEO,Conversion,6875.110552358294,0.0819684014043073,6,4,1,28,1
Email,Retention,8325.36827258827,0.2797443040667083,0,7,9,0,1
Referral,Retention,3392.564675884278,0.0636005908593988,13,5,2,0,1
Email,Conversion,2412.5435567182035,0.2115528680289828,2,1,6,8,0
SEO,Conversion,8343.16152551783,0.2897613999540883,8,0,8,20,1
PPC,Consideration,8917.96987112062,0.0446567377386606,10,3,5,13,1
Social Media,Conversion,4159.213080789437,0.1257627771543212,14,3,9,27,1
Referral,Conversion,366.3511231113751,0.0749403218883938,4,6,3,17,1
Referral,Awareness,6980.120046852104,0.0742528400473174,18,1,9,32,1
SEO,Retention,7861.929038212982,0.0445058947599074,3,3,3,42,1
PPC,Consideration,278.44010632795823,0.198369843357525,19,9,7,1,1
PPC,Awareness,5990.805448080981,0.2264396178741064,12,0,7,33,1
Social Media,Conversion,5924.850706617332,0.2062702339066863,5,6,9,23,1
PPC,Retention,3849.208296604349,0.2781503727095543,6,2,8,18,1
SEO,Conversion,7522.696525923294,0.0522468545282357,15,7,3,1,1
PPC,Conversion,4338.9724773321705,0.1027551582816517,7,0,4,5,1
SEO,Conversion,6800.081922734505,0.1099261148137122,8,0,7,14,1
Referral,Conversion,5219.461315888004,0.0773038101156023,8,8,7,10,1
Referral,Retention,2559.7995865581547,0.0512394338055203,18,4,2,15,1
Referral,Awareness,6104.358543800304,0.1511440080186165,18,3,4,20,1
Email,Conversion,7395.394098973832,0.2519874921337542,10,3,9,26,1
Referral,Conversion,9741.666167026337,0.2868165204249622,15,7,9,21,1
SEO,Consideration,3863.078573343893,0.0475087833433643,8,8,1,2,0
Social Media,Consideration,738.2781921968759,0.2487155961410934,14,6,5,2,1
PPC,Retention,9880.915090091385,0.2491285256599297,10,7,4,20,1
Referral,Conversion,6275.685928312809,0.1228036552502444,7,1,9,42,1
Email,Conversion,9469.859535791617,0.0419085910021817,2,9,7,5,0
Email,Conversion,1127.8881515100816,0.2971023219595004,13,6,1,24,1
SEO,Retention,3486.135014717531,0.2001219788533574,5,3,6,40,1
Social Media,Retention,1425.9733188399705,0.2948367515620583,4,7,4,36,1
Referral,Conversion,8371.550530362389,0.1502600995485509,10,9,4,29,1
Referral,Conversion,8815.39314015023,0.1246059699816513,9,7,4,38,1
Email,Retention,5062.985828762702,0.0816837880314316,19,9,4,19,1
SEO,Conversion,1947.4015548541013,0.2952358805138856,10,1,0,0,0
Email,Awareness,1358.4777934931146,0.0834446081440593,5,8,7,34,1
Email,Awareness,5922.824689794047,0.0168911993032346,7,5,1,42,1
Social Media,Retention,5113.125613394475,0.1586158399406585,13,4,6,25,1
SEO,Awareness,6978.412113439908,0.1193446429847654,12,8,4,20,1
Social Media,Consideration,3121.551899937913,0.0858009259944867,2,2,3,9,0
SEO,Conversion,4083.4431507411855,0.1940363537795403,5,4,1,44,1
Referral,Consideration,311.474631126458,0.1156378983203684,16,4,3,28,1
PPC,Consideration,6140.416146247737,0.1266527576118931,0,7,5,2,1
PPC,Consideration,4289.1208613301305,0.0166832251292728,10,8,8,42,1
SEO,Awareness,9205.669874753134,0.1808305692803866,0,8,4,40,1
PPC,Conversion,6453.684347277568,0.0454005986556424,13,4,2,42,1
Email,Conversion,4047.075465351969,0.0720034090796723,8,1,2,40,1
Referral,Retention,2709.5328906461687,0.217964167977665,9,9,4,12,1
Referral,Consideration,9062.320931815624,0.1008403905933341,11,5,3,8,1
PPC,Awareness,261.0242337626884,0.0573309572571304,3,3,7,45,0
SEO,Consideration,3336.433425798683,0.1774530026481194,17,8,0,15,1
Email,Consideration,9440.705279501546,0.0723223035320027,10,7,9,48,1
SEO,Conversion,6574.926769117584,0.0885836820480244,15,5,2,46,1
PPC,Retention,5373.918805704661,0.1901883998935833,17,1,4,27,1
Referral,Awareness,2114.993707412232,0.2245599165955353,6,2,3,27,1
Referral,Conversion,8350.410265118433,0.2245013087067173,19,1,0,10,1
SEO,Consideration,2121.5707196684834,0.1498505894425408,3,5,4,43,1
Social Media,Conversion,2557.7099620603744,0.1417461041927362,1,3,0,29,1
SEO,Consideration,1999.3263144313669,0.2384171034270646,8,0,7,10,1
Social Media,Awareness,1665.6796596382674,0.0659800702826299,11,8,9,28,1
SEO,Conversion,9537.793710190148,0.0541387097832531,18,5,5,49,1
Social Media,Conversion,6060.112801798953,0.2027615691485578,8,1,6,11,1
Social Media,Conversion,6414.5876068999305,0.128757010972884,9,2,8,7,1
Social Media,Conversion,9547.822110219957,0.2158995535653524,8,7,7,9,1
Social Media,Conversion,2382.6930457430703,0.0844140648043384,4,8,0,34,0
Email,Awareness,158.5836321171514,0.1042128455093623,0,8,1,35,0
Social Media,Retention,6028.948130745883,0.2700365182637633,15,4,1,12,1
Social Media,Awareness,5127.664046919171,0.1322803927782605,8,3,2,26,1
Referral,Conversion,4828.738736243112,0.1813765062189115,4,4,4,39,1
Email,Consideration,712.6140913373714,0.0409378362943097,3,0,5,1,0
Social Media,Consideration,4598.905179090367,0.0618604599359,4,2,2,27,1
PPC,Conversion,2946.839694397919,0.0204074413585668,3,8,5,33,1
Email,Retention,2818.1903045207,0.1330675354108833,13,7,5,20,1
Referral,Conversion,2301.5776437730187,0.2967868013035569,7,3,9,5,1
SEO,Awareness,3392.0307615702504,0.2634232142689251,12,0,2,38,1
Referral,Retention,3596.017443919783,0.193543585332747,10,2,3,25,1
Referral,Retention,3156.880185983775,0.2597179826676651,13,3,3,35,1
Email,Awareness,9789.651885623138,0.1823091133422026,9,3,0,39,1
Email,Retention,9334.037746543923,0.1169429752968999,6,0,9,17,1
PPC,Conversion,5787.649985296136,0.0603284563193234,18,5,0,41,1
PPC,Conversion,9812.442900262067,0.199384135110465,16,8,3,42,1
Email,Consideration,9912.86030215998,0.0659848701533161,3,7,7,38,1
Email,Awareness,3623.803129171295,0.1310542409880174,19,1,8,4,1
Email,Retention,4507.35670282347,0.2494825342250262,13,6,5,25,1
SEO,Retention,9594.711592148187,0.0474764977429012,11,2,2,10,1
Referral,Retention,6125.399373056997,0.0474162115264705,10,5,0,49,1
PPC,Conversion,2207.997920088998,0.0750767005215632,0,1,3,15,0
PPC,Awareness,6924.868616531354,0.1700560190654667,8,7,1,18,1
Social Media,Conversion,2136.8872022562664,0.0829998086953747,0,3,6,4,1
SEO,Retention,3459.641662351273,0.1559274018039502,9,5,2,6,1
Email,Conversion,2352.8456146439803,0.0975749572073092,10,2,7,2,1
Email,Retention,2525.304137745038,0.1568102394234376,4,0,8,24,0
SEO,Retention,146.0902575111443,0.0905131202105017,8,1,3,9,0
PPC,Conversion,8819.017438774574,0.2942035889264839,2,9,4,4,1
Email,Retention,3030.3059032303586,0.1528881913311706,1,7,4,31,1
Social Media,Conversion,955.1063572756652,0.2256565958913896,17,5,7,31,1
PPC,Consideration,961.1753162427764,0.2131585020804794,13,3,0,4,1
Referral,Conversion,5604.580936963426,0.1522622186961647,4,8,5,42,1
SEO,Consideration,9929.913450285978,0.0792699978836983,13,6,1,18,1
PPC,Consideration,1535.722425974897,0.1581083005947308,4,0,8,11,1
Referral,Conversion,1086.2556314016288,0.207481770878926,1,5,6,30,1
Social Media,Awareness,4439.208415980697,0.1433765884633314,6,3,9,16,1
SEO,Awareness,5676.979413023874,0.033758281135195,17,5,8,21,1
Email,Conversion,3014.3655528916106,0.0152151365718443,15,7,9,46,1
Email,Conversion,3094.968715887277,0.1050842744556731,4,8,3,49,1
Referral,Retention,4302.3173683046,0.0535649385670604,19,2,4,40,1
PPC,Retention,3210.0415899909995,0.2727951713185387,11,1,9,21,1
Social Media,Conversion,9161.782677328316,0.0609914743246282,12,9,6,48,1
Referral,Awareness,515.3502557772267,0.1243419870633541,7,6,2,25,1
Social Media,Retention,2422.244582715719,0.2165024785007296,13,6,7,30,1
Social Media,Retention,8104.6726826514705,0.2464722814046576,4,2,6,42,1
Social Media,Awareness,8356.185434183071,0.1485368144216579,3,4,5,5,1
SEO,Conversion,1204.395281745591,0.0625291527864337,8,9,7,11,1
Referral,Awareness,9740.258155125895,0.0885596148369973,14,7,1,42,1
SEO,Consideration,6964.213014001178,0.1315008498159326,13,2,4,26,1
PPC,Retention,2798.6712542375967,0.115732430904419,4,7,8,16,1
PPC,Retention,4614.7748616631,0.1111150995792003,14,2,7,9,1
Email,Retention,3041.672333722875,0.0482376025094326,3,3,0,44,0
Email,Awareness,1585.2202735587516,0.2748599731295754,17,2,9,4,1
Email,Awareness,2982.6628410142603,0.0186294158611373,4,4,7,3,0
PPC,Conversion,5842.910181147222,0.1376006170839678,16,7,1,38,1
Social Media,Retention,8277.09997887114,0.2942932328258951,13,4,6,14,1
Social Media,Consideration,3698.937841406814,0.2013199422589896,16,6,0,1,1
Referral,Conversion,3544.225251423633,0.1130690924825941,18,3,2,48,1
PPC,Awareness,4733.206940705094,0.0523682994914192,12,9,6,7,1
Email,Consideration,6481.100439647028,0.2895230556372706,12,1,9,15,1
PPC,Conversion,7541.000998079862,0.0140560449432134,12,5,0,19,1
Social Media,Awareness,3335.315097514791,0.2076023954778116,1,4,8,23,1
Social Media,Consideration,5904.889431468876,0.2652398667191449,14,7,3,34,1
SEO,Conversion,3954.672328680736,0.0172965420670102,0,7,4,16,1
SEO,Consideration,7192.358518597521,0.2203007105862453,14,0,2,4,1
Referral,Awareness,1730.281713118506,0.2996629507638731,15,7,8,13,1
PPC,Conversion,2643.5561640078317,0.1954963158862713,10,2,5,13,1
SEO,Awareness,4317.998156443223,0.1302568948745856,2,1,6,45,1
SEO,Retention,8905.20642022154,0.2635762086133217,19,9,7,42,1
PPC,Retention,5775.925314571833,0.1707119814625622,13,3,0,30,1
Social Media,Consideration,9657.421577915977,0.2273378455690826,4,9,0,19,1
Referral,Retention,1122.44908428273,0.1804559076273664,16,7,5,12,1
Referral,Awareness,4655.736595144255,0.0211044168215052,1,4,5,8,0
Referral,Consideration,4248.877447449304,0.0718120465795507,6,6,0,33,0
SEO,Conversion,6042.041146419087,0.0328414364561573,9,7,7,11,1
Social Media,Awareness,8138.449626205024,0.0409394510911346,9,2,9,39,1
Referral,Conversion,8430.335453272295,0.0144675931405408,19,6,6,15,1
PPC,Conversion,6734.926626184532,0.1321378439141043,7,6,6,0,1
Referral,Conversion,6451.21000603098,0.0618089732087078,0,8,3,15,1
Email,Conversion,9495.392466243597,0.2581519909432517,15,2,4,5,1
Social Media,Awareness,3898.505276220404,0.2275108858867915,8,5,7,19,1
Email,Retention,8344.554810466034,0.1762213284964938,15,6,9,5,1
Social Media,Awareness,9222.886898213712,0.1518161901516146,19,8,8,34,1
PPC,Retention,4966.238518225449,0.0842019057670329,14,3,3,40,1
SEO,Conversion,7318.115528172673,0.1477359251037457,8,3,8,2,1
SEO,Retention,3832.4965810419694,0.1959564900006791,11,4,9,20,1
Social Media,Conversion,1672.9022405345002,0.2368463694559049,1,9,9,6,1
Referral,Consideration,5906.38842657701,0.033687799215282,9,4,8,13,1
Email,Conversion,2045.0693434103655,0.2154547597362095,15,0,8,29,1
PPC,Retention,4630.231394958304,0.2253916642607727,4,7,2,21,1
Referral,Consideration,8741.505201950498,0.1721019382682083,12,7,3,13,1
SEO,Consideration,951.580056880437,0.0721525667539283,6,8,4,24,1
Referral,Conversion,401.2425030800315,0.1663635303753407,8,2,5,2,1
Email,Awareness,6104.130689080687,0.15578441572644,16,5,9,4,1
SEO,Retention,3377.5071332894613,0.1479559279521708,16,9,5,4,0
Social Media,Consideration,4237.583298566561,0.1435855754854834,16,8,9,41,1
PPC,Awareness,4116.534827717482,0.0421394142245407,4,3,0,8,0
PPC,Conversion,957.5402671946792,0.0630388206086357,5,8,3,47,1
SEO,Conversion,135.30768352798611,0.0382263056508892,5,5,9,40,1
Social Media,Conversion,8994.390104356216,0.0803185700237154,8,3,6,37,1
Email,Conversion,2256.2057529470894,0.0864082669918951,9,5,7,36,1
PPC,Retention,4318.182019456454,0.0810719998329831,16,5,7,3,1
SEO,Consideration,9722.065387043678,0.0711694297738249,2,3,5,19,1
PPC,Retention,8284.949561638157,0.2232723931905887,19,9,2,20,1
Social Media,Consideration,1168.5154671007515,0.2473839658834541,8,4,3,49,1
Email,Awareness,5134.338412964598,0.1048616728060452,0,0,3,47,1
Social Media,Awareness,7327.782362300658,0.0984873785884901,18,8,5,23,1
Referral,Consideration,7014.088571492203,0.2547693814282273,13,6,3,6,1
Social Media,Conversion,7632.334338804255,0.1909379314830794,7,4,4,45,1
Social Media,Awareness,4628.80108339155,0.0950971141888266,17,4,5,48,1
PPC,Retention,1841.6370003697923,0.2169475648501088,5,5,2,7,1
Social Media,Consideration,4702.237194801789,0.1099319149676185,1,7,2,10,1
SEO,Awareness,6514.083766815591,0.1801011281592301,6,2,6,48,1
PPC,Consideration,6125.061657391163,0.2978638686964624,5,7,0,45,1
PPC,Conversion,798.1683325072136,0.0974623688126496,10,2,3,8,1
Referral,Consideration,743.0290974136984,0.2798525402054166,9,9,2,5,1
SEO,Awareness,9656.052528436598,0.1029892001425624,10,4,4,39,1
Social Media,Consideration,1602.8740048937334,0.1666831442686988,7,4,1,16,1
Referral,Awareness,3015.178393716047,0.1433952989837215,12,1,9,12,1
SEO,Awareness,7699.581373346038,0.2371162730797414,5,0,8,44,1
Referral,Awareness,4155.803050649432,0.0277168828497784,9,2,4,16,1
Email,Retention,1896.502047274324,0.1918654681799125,17,9,9,1,1
Social Media,Conversion,4725.6005848668365,0.2305934138611586,14,3,3,29,1
Referral,Conversion,5732.604710557322,0.1469220069008145,4,6,3,31,1
Email,Consideration,4582.389431852949,0.0405348558959635,10,6,6,49,1
Social Media,Consideration,9197.56614717388,0.0809934539105957,3,8,3,35,1
Referral,Awareness,2918.5230214850926,0.2071049873292504,12,3,9,6,0
Referral,Conversion,6647.188390926743,0.2696768417950914,14,2,7,15,1
Referral,Consideration,1211.7177419579873,0.1322664960301417,1,2,0,18,0
Referral,Consideration,3983.626030873863,0.1725194901726951,6,9,9,14,1
PPC,Conversion,7435.833190691239,0.0762316606507899,5,9,5,13,1
Referral,Awareness,2325.687711835708,0.1295418610706927,18,0,8,44,1
PPC,Consideration,5938.733351978685,0.1076690442534425,14,5,4,6,1
PPC,Awareness,1619.0265891696972,0.2001024089117418,13,3,4,46,1
Email,Conversion,1116.746744477574,0.2955626959857821,15,4,3,32,1
Social Media,Conversion,5280.004214357922,0.245858001075849,19,1,8,33,1
PPC,Consideration,6782.608861251683,0.0657277296285936,9,7,1,23,1
SEO,Consideration,1222.3339557213862,0.1775267920589623,5,9,8,34,1
PPC,Conversion,9185.98489849186,0.0292593973350364,14,2,5,20,1
SEO,Awareness,2335.145400704922,0.0816054911843642,3,6,9,23,1
Email,Awareness,1287.7555507770703,0.0599431260575132,1,8,7,36,1
SEO,Retention,2106.7191926670844,0.1073082059154442,18,8,3,15,1
Email,Conversion,1778.7673196652352,0.2068560510228219,6,7,3,16,1
Email,Consideration,997.679041068195,0.1548240619058797,10,2,9,28,1
Email,Conversion,7998.608424309204,0.2805436853504731,14,4,0,17,1
SEO,Consideration,5005.823969966698,0.0716971635560675,15,9,5,47,1
SEO,Awareness,3946.34245974896,0.1156206524136426,4,0,1,10,0
Email,Consideration,9511.216477142918,0.1056572472698161,8,6,4,2,1
Email,Retention,3772.9830319414286,0.0784294515283796,0,3,2,41,0
Social Media,Awareness,1753.029987867175,0.2980195230466109,12,8,1,17,1
Email,Retention,2813.024630073303,0.1222954081784857,2,9,9,15,1
Referral,Conversion,2465.768682527105,0.2827476043448835,4,7,0,40,0
Social Media,Consideration,5037.5386676767175,0.1232373074173669,13,9,8,0,1
Social Media,Awareness,2985.900727150282,0.0691865868347916,4,6,0,42,0
Social Media,Consideration,5209.005604644982,0.0445698358979862,19,9,7,42,1
Referral,Retention,6726.00490697321,0.2581133260208965,13,3,5,26,1
Social Media,Awareness,7795.257978561252,0.0193083157406726,0,1,3,30,0
Social Media,Retention,7130.562034545585,0.2896744306183916,10,2,8,44,1
SEO,Awareness,2135.348092917973,0.131275451417809,4,7,0,27,0
SEO,Conversion,1247.4072205032624,0.0817385618144635,2,5,3,39,1
Email,Conversion,5470.256575102384,0.1890593783424551,9,2,9,26,1
Email,Consideration,2069.226732960637,0.048544767632494,8,9,6,8,1
PPC,Retention,940.8438455379812,0.0309222163342431,14,1,3,37,1
Referral,Retention,5318.23399549623,0.2500571720537744,5,7,0,35,1
SEO,Awareness,3335.262432567175,0.1331545246413447,5,8,3,40,1
Email,Conversion,7585.875218191188,0.1602939245103142,7,6,5,26,1
Referral,Consideration,3210.4971424293385,0.0612418425737688,1,4,7,46,0
Social Media,Conversion,9789.299656852556,0.0278130309128132,3,7,1,49,1
Referral,Retention,7609.37959348101,0.1166550784690355,1,2,8,25,0
SEO,Consideration,671.1628927397352,0.1567824131902259,8,3,6,26,1
PPC,Conversion,5137.840129527134,0.2319748803446281,4,2,5,3,1
SEO,Conversion,5669.9429620196925,0.1553050800682843,18,2,2,47,1
Email,Awareness,6983.4968357478165,0.2369270351289118,18,7,3,37,1
Email,Awareness,5028.188290634206,0.043475506105551,8,2,7,11,1
Referral,Retention,4886.091624304275,0.0285492038927459,4,5,6,46,1
SEO,Conversion,3742.5922556083674,0.0560696796016009,15,6,5,14,1
Email,Awareness,2787.46770060182,0.2338835167977312,6,0,6,46,1
Social Media,Conversion,9467.382098569671,0.2302057669432234,1,7,8,47,1
Social Media,Consideration,3244.207029380282,0.050996663308086,13,7,4,29,1
PPC,Conversion,727.8711133452737,0.0189867108926971,0,3,4,13,1
Referral,Conversion,1756.1189190047812,0.2087317615015279,7,7,9,7,1
Email,Retention,8587.038696808768,0.2580317171404634,16,5,6,27,1
PPC,Consideration,5907.671245321501,0.2286912316979528,18,6,6,30,1
Social Media,Consideration,7809.927438832949,0.0688117043783726,5,2,4,1,1
PPC,Awareness,8106.937306782974,0.1792926901953473,13,2,7,14,1
PPC,Consideration,8250.040748189625,0.2296360589814069,7,9,5,39,1
Email,Retention,5551.075706671626,0.0841903243186414,10,9,3,42,1
Email,Awareness,1853.4938974211384,0.1630390323971413,13,8,8,47,1
Email,Conversion,1567.5042471378033,0.1011935171523933,9,9,1,7,1
Referral,Consideration,5782.445761713613,0.0754168710248361,16,9,1,4,0
PPC,Conversion,3728.492101488197,0.2911809047635472,11,8,4,3,1
PPC,Awareness,5624.6775883330965,0.2746487685122086,3,2,2,11,1
Referral,Consideration,5034.930657954861,0.1392436419759312,18,8,2,9,1
Social Media,Awareness,6061.76098900573,0.0496656377085531,16,2,6,3,0
SEO,Awareness,417.9067282919968,0.2210931179629881,4,3,4,9,1
Social Media,Consideration,425.0831382382212,0.0841533277371838,13,2,5,28,1
Referral,Consideration,7243.792191400237,0.0588701636930474,6,4,2,27,1
PPC,Awareness,2011.9597138449265,0.1206434151440735,2,3,7,28,1
PPC,Retention,6556.764775701358,0.1636564446583543,4,8,4,18,1
Email,Consideration,5511.1015168354,0.0382576956479202,4,1,7,42,0
Email,Awareness,9819.765266905772,0.1758064771840727,7,9,3,12,1
PPC,Conversion,8370.518200942317,0.0144510286811602,2,7,3,33,1
PPC,Conversion,4190.031761180359,0.2686420275719951,0,2,4,45,1
Email,Consideration,6202.486918922334,0.2770150898908713,1,8,7,19,1
Email,Consideration,1261.165626532173,0.2225905243184369,6,1,3,17,1
Social Media,Conversion,3925.221825327572,0.1452993284865115,14,6,5,47,1
PPC,Awareness,7365.488636789756,0.0839199184633602,13,5,7,35,1
PPC,Awareness,6264.448682873671,0.2257925063063049,12,7,2,0,1
Referral,Awareness,4896.266111335843,0.2802211885660984,11,2,5,25,1
Social Media,Retention,1847.638130121424,0.0559747744202574,17,5,6,2,1
SEO,Consideration,8051.144668959692,0.1450883768963324,1,1,7,43,0
SEO,Retention,2804.3493836746115,0.1014258744504191,6,9,4,2,1
SEO,Retention,8222.742908452903,0.1134551188233138,9,9,3,20,1
Email,Retention,6154.929721670435,0.1276697565836504,19,6,9,17,1
SEO,Retention,3790.041136692996,0.2860209398676881,9,2,9,30,1
Referral,Awareness,501.9916974039159,0.0850047786817471,5,4,9,35,1
Email,Consideration,2400.946559009331,0.1528759933371169,3,2,3,48,1
Email,Consideration,8901.802162332822,0.2859313667819192,7,9,2,43,1
SEO,Retention,8197.946004567602,0.148056498163312,12,0,1,30,1
Email,Consideration,5791.04779804757,0.2604438613572215,4,0,9,7,1
Social Media,Conversion,4716.592393225057,0.0270417845543314,7,9,5,24,1
Social Media,Awareness,6506.712525368081,0.2863788213543384,7,3,0,48,1
SEO,Consideration,4715.856465648685,0.0643840326375547,8,4,5,45,1
Referral,Awareness,6478.617923119489,0.2941811600720724,13,0,4,19,1
Email,Conversion,3143.3005866355634,0.060917290924979,10,9,1,10,1
PPC,Awareness,8401.122457323603,0.1388661248605425,9,2,9,39,1
SEO,Conversion,7048.9871453061405,0.0994982025560378,6,2,4,0,1
Email,Retention,3366.758721434149,0.1356371121175628,12,1,6,20,1
SEO,Consideration,8323.594536752067,0.0826521745784023,8,5,0,16,1
SEO,Retention,4924.691055446471,0.2899420496040161,7,1,4,27,1
Referral,Consideration,1828.9247609008687,0.0986602453811965,16,3,7,17,1
PPC,Retention,869.3533738349139,0.1994497244986246,13,4,7,28,1
Email,Conversion,7026.096901608482,0.0498597719836486,17,2,7,9,0
SEO,Consideration,8664.695961659305,0.2490723706064662,8,0,0,8,1
SEO,Retention,8093.675687085982,0.1673273036177588,14,0,7,33,1
Email,Awareness,6590.945199199304,0.2940393761140816,15,0,7,19,1
SEO,Awareness,1499.6130504872035,0.1327866428816962,19,5,4,30,1
SEO,Retention,1031.03635216887,0.0666798837432315,8,3,5,2,1
SEO,Conversion,3515.793267816081,0.1103455098378852,9,5,1,0,1
Social Media,Retention,8563.617814947811,0.2237200257671133,13,0,1,32,1
Social Media,Awareness,9621.189076035977,0.201140891088804,11,4,0,49,1
PPC,Consideration,2489.4724629860057,0.2357207482091403,7,0,9,7,0
Referral,Consideration,7644.747138759028,0.0313063847392206,16,3,2,17,1
Email,Retention,5781.305247381337,0.178306944849988,16,8,1,29,1
Referral,Consideration,414.89293407163314,0.2803289163405283,18,5,7,32,1
Referral,Awareness,5474.871864336104,0.0412915566496574,17,3,4,21,1
Social Media,Consideration,8078.809989594616,0.0373572250847638,12,9,6,16,1
PPC,Retention,2833.6155551058623,0.217815265710659,16,6,1,41,1
Referral,Retention,8983.880077307564,0.1014029121948185,3,9,7,8,1
Referral,Retention,2438.978028058905,0.200987971004663,17,9,0,21,1
SEO,Awareness,857.0840131761377,0.1681615087846044,9,0,3,9,1
Email,Conversion,1683.3991634516838,0.2959593309185726,9,0,6,32,1
PPC,Consideration,8386.328400337092,0.2678263609169135,4,4,0,47,1
Email,Retention,4231.32859849133,0.2066411066528964,0,6,2,38,1
Social Media,Conversion,7989.761079854411,0.0858856415699136,13,8,2,2,1
Referral,Retention,5359.207303796991,0.0859533670236361,9,8,4,16,1
Referral,Retention,4857.535335464871,0.2658507021649943,4,9,2,8,1
Email,Awareness,8088.440199775407,0.1797489089298639,8,7,3,46,1
Social Media,Awareness,4292.527355952521,0.2388917167951096,16,1,5,39,1
SEO,Conversion,8040.124037557046,0.1404606198956807,18,0,3,35,1
SEO,Retention,1096.5554331381113,0.0398913546289427,4,2,0,18,0
Referral,Consideration,6399.47707383864,0.1064790728894915,0,0,6,33,0
Referral,Consideration,7055.611859864649,0.0567332663436253,6,0,7,1,1
PPC,Consideration,9001.064221803252,0.2367315167633956,0,7,6,44,1
Email,Conversion,2320.80679529033,0.2131484770005561,9,2,4,26,1
